,Unnamed: 0,Fahrzeugklasse,Fahrzeugart_Code,Fahrzeugart,Marken_Code,Marke,Marke_und_Typ,Typ1,Typ2,Typ3,Typ4,Typengenehmigungs-Nr,Typengenehmigungs-Nr_Zusatz,Karosserieform_Code,Karosserieform,Farbe,Farbe_Zusatz,Sitzplätze,Sitzplätze_vorne,Stehplätze,Leergewicht,Nutzlast,Gesamtgewicht,Gesamtzugsgewicht,Anhängelast,Dachlast,Tankinhalt_Aufbaus,Hubraum,Zylinder,Leistung,Motorkennzeichen,Treibstoff_Code,Treibstoff,CO2,Emissionscode,Energieeffizienzkategorie,Getriebe_Code,Getriebe,Getriebe_Detailcode,Antrieb_Code,Antrieb,Achsen,Erstinverkehrsetzung_Jahr,Erstinverkehrsetzung_Monat,Erstinvekehrsetzung_Kanton,Erstinverkehrsetzung_Staat,Gebrauchtcode,Ersterfassung_Jahr,Ersterfassung_Monat,Schildfarbe_Code,Schildfarbe,Schildart_Code,Schildart,Inverkehrsetzung_Status_Code,Inverkehrsetzung_Kanton,PLZ,Ort,BFS-Gemeinde-Nr,Staat_Code,Staat,Halterart_Code,Halterart,Besondere_Verwendung_Code,Besondere_Verwendung,Unnamed: 63,Marke_harm,Type_harm,Luxury,Marke_Typ_harm
9141,412913,M1,1,Personenwagen,4009,audi,audi q2 2.0tdi quattro,q2 2.0tdi quattro,q2,2.0tdi,quattro,1AF249,,161,Stationswagen,Schwarz,,5,2,0,1604,431,2035,0,0,60,0,1968,4,110.0,DFGA,D,Diesel,125.0,B6b,C,M,Mechanisch,M7A,A,Allrad,2,2017,10,Kanton,,,,,0.0,Weiss,N,Normalschild,I,Kanton_Kürzel,PLZ,Gemeinde,4082,CH,Schweiz,1,männlich,,,,audi,Q2,x,audi - Q2
9663,412023,M1,1,Personenwagen,4009,audi,audi q2 2.0tfsi quatt.,q2 2.0tfsi quatt.,q2,2.0tfsi,quatt.,1AF410,,161,Stationswagen,Schwarz,,5,2,0,1571,419,1990,0,0,60,0,1984,4,140.0,CZPB,B,Benzin,139.0,B6c,F,M,Mechanisch,M7A,A,Allrad,2,2017,10,Kanton,,,,,0.0,Weiss,N,Normalschild,I,Kanton_Kürzel,PLZ,Gemeinde,10,CH,Schweiz,3,juristisch,,,,audi,Q2,x,audi - Q2
9678,410274,M1,1,Personenwagen,4009,audi,audi q2 1.4tfsi,q2 1.4tfsi,q2,1.4tfsi,,1AF244,,161,Stationswagen,Grau,Metallic,5,2,0,1436,404,1840,0,0,60,0,1395,4,110.0,CZEA,B,Benzin,123.0,B6b,D,M,Mechanisch,M7A,V,Vorderrad,2,2018,9,Kanton,,,,,0.0,Weiss,N,Normalschild,I,Kanton_Kürzel,PLZ,Gemeinde,1702,CH,Schweiz,1,männlich,,,,audi,Q2,x,audi - Q2
9918,412831,M1,1,Personenwagen,4009,audi,audi q2 2.0tdi quattro,q2 2.0tdi quattro,q2,2.0tdi,quattro,1AF251,,161,Stationswagen,Grau,,5,2,0,1655,385,2040,0,0,60,0,1968,4,140.0,DFHA,D,Diesel,134.0,B6b,D,M,Mechanisch,M7A,A,Allrad,2,2018,1,Kanton,,,,,0.0,Weiss,N,Normalschild,I,Kanton_Kürzel,PLZ,Gemeinde,4199,CH,Schweiz,1,männlich,,,,audi,Q2,x,audi - Q2
265,329825,M1,1,Personenwagen,4009,audi,audi q3,q3,q3,nan,,X,,161,Stationswagen,Grau,Metallic,5,2,0,1686,454,2140,0,0,50,0,1985,4,132,,B,Benzin,152.0,B6b,,A,Automat,A7,A,Allrad,2,2017,1,Kanton,,,,,0.0,Weiss,N,Normalschild,I,Kanton_Kürzel,PLZ,Gemeinde,2086,CH,Schweiz,2,weiblich,,,,audi,Q3,x,audi - Q3
395,343873,M1,1,Personenwagen,4009,audi,audi q3 2.0tdi quattro,q3 2.0tdi quattro,q3,2.0tdi,quattro,1AE499,,161,Stationswagen,Grau,,5,2,0,1799,426,2225,0,2000,75,0,1968,4,135,DFUA,D,Diesel,144.0,B6b,E,M,Mechanisch,M7A,A,Allrad,2,2018,5,Kanton,,,,,0.0,Weiss,N,Normalschild,I,Kanton_Kürzel,PLZ,Gemeinde,1054,CH,Schweiz,1,männlich,,,,audi,Q3,x,audi - Q3
474,418866,M1,1,Personenwagen,4009,audi,audi rs q3 perf.,rs q3 perf.,rs,q3,Perf.,1AE636,,161,Stationswagen,Weiss,,5,2,0,1818,397,2215,0,0,75,0,2480,5,270,CZGB,B,Benzin,203.0,B6b,G,M,Mechanisch,M7A,A,Allrad,2,2017,7,Kanton,,,,,0.0,Weiss,N,Normalschild,I,Kanton_Kürzel,PLZ,Gemeinde,762,CH,Schweiz,1,männlich,,,,audi,Q3,x,audi - Q3
926,338278,M1,1,Personenwagen,4009,audi,audi q3 2.0tfsi quat.,q3 2.0tfsi quat.,q3,2.0tfsi,quat.,1AD205,M,161,Stationswagen,Schwarz,,5,2,0,1640,525,2165,0,0,75,0,1984,4,183,CPSA,B,Benzin,179.0,B5b,,M,Mechanisch,M7A,A,Allrad,2,2013,11,Kanton,,,,,0.0,Weiss,N,Normalschild,I,Kanton_Kürzel,PLZ,Gemeinde,768,CH,Schweiz,1,männlich,,,,audi,Q3,x,audi - Q3
1810,165480,M1,1,Personenwagen,4009,audi,audi a6 av.q3.0tdicomp,a6 av.q3.0tdicomp,a6,av.q3.0tdicomp,,1AD750,,161,Stationswagen,Schwarz,,5,2,0,2090,470,2560,0,0,100,0,2967,6,240,CVUB,D,Diesel,169.0,B6b,F,A,Automat,A8,A,Allrad,2,2017,4,Kanton,,,,,0.0,Weiss,N,Normalschild,I,Kanton_Kürzel,PLZ,Gemeinde,2475,CH,Schweiz,3,juristisch,,,,audi,Q3,x,audi - Q3
2015,338545,M1,1,Personenwagen,4009,audi,audi q3 1.4tfsi cod,q3 1.4tfsi cod,q3,1.4tfsi,CoD,1AD558,,161,Stationswagen,Schwarz,,5,2,0,1560,445,2005,0,0,75,0,1395,4,110,CZEA,B,Benzin,128.0,B6b,C,M,Mechanisch,M6,V,Vorderrad,2,2015,6,Kanton,,,,,0.0,Weiss,N,Normalschild,I,Kanton_Kürzel,PLZ,Gemeinde,1143,CH,Schweiz,1,männlich,,,,audi,Q3,x,audi - Q3
2105,330170,M1,1,Personenwagen,4009,audi,audi q3 2.0tfsi quat.,q3 2.0tfsi quat.,q3,2.0tfsi,QUAT.,1AC798,,161,Stationswagen,Schwarz,,5,2,0,1640,525,2165,0,2000,75,0,1984,4,155,,B,Benzin,179.0,B5b,G,M,Mechanisch,M7A,A,Allrad,2,2011,12,Kanton,,,,,0.0,Weiss,N,Normalschild,I,Kanton_Kürzel,PLZ,Gemeinde,3215,CH,Schweiz,2,weiblich,,,,audi,Q3,x,audi - Q3
3373,328041,M1,1,Personenwagen,4009,audi,audi q3 2.0tdi quattro,q3 2.0tdi quattro,q3,2.0tdi,quattro,1XL224,,161,Stationswagen,Schwarz,Metallic,5,2,0,1753,472,2225,0,0,75,0,1968,4,135,,D,Diesel,141.0,B6b,C,M,Mechanisch,M7A,A,Allrad,2,2015,9,Kanton,,,,,0.0,Weiss,N,Normalschild,I,Kanton_Kürzel,PLZ,Gemeinde,923,CH,Schweiz,3,juristisch,,,,audi,Q3,x,audi - Q3
3405,331756,M1,1,Personenwagen,4009,audi,audi q3 2.0tfsi quat.,q3 2.0tfsi quat.,q3,2.0tfsi,quat.,1AC796,,161,Stationswagen,Schwarz,Metallic,5,2,0,1608,502,2110,0,0,75,0,1984,4,125,CCZC,B,Benzin,174.0,B5b,G,M,Mechanisch,M6,A,Allrad,2,2012,6,Kanton,,,,,0.0,Weiss,N,Normalschild,I,Kanton_Kürzel,PLZ,Gemeinde,4203,CH,Schweiz,1,männlich,,,,audi,Q3,x,audi - Q3
5166,338456,M1,1,Personenwagen,4009,audi,audi q3 1.4tfsi,q3 1.4tfsi,q3,1.4tfsi,,1AD306,,161,Stationswagen,Weiss,,5,2,0,1470,535,2005,0,0,75,0,1395,4,110,CHPB,B,Benzin,145.0,B6b,F,M,Mechanisch,M6A,V,Vorderrad,2,2014,10,Kanton,,,,,0.0,Weiss,N,Normalschild,I,Kanton_Kürzel,PLZ,Gemeinde,2550,CH,Schweiz,2,weiblich,,,,audi,Q3,x,audi - Q3
5219,333651,M1,1,Personenwagen,4009,audi,audi q3 2.0tdi quattro,q3 2.0tdi quattro,q3,2.0tdi,quattro,1AC797,,161,Stationswagen,Grau,Metallic,5,2,0,1655,530,2185,0,2000,75,0,1968,4,130,CFGC,D,Diesel,156.0,B5b,F,M,Mechanisch,M7A,A,Allrad,2,2014,2,Kanton,,,,,0.0,Weiss,N,Normalschild,I,Kanton_Kürzel,PLZ,Gemeinde,1125,CH,Schweiz,1,männlich,,,,audi,Q3,x,audi - Q3
5766,336301,M1,1,Personenwagen,4009,audi,audi q3 2.0tfsi quat.,q3 2.0tfsi quat.,q3,2.0tfsi,QUAT.,1AC798,,161,Stationswagen,Grau,,5,2,0,1640,525,2165,0,0,75,0,1984,4,155,,B,Benzin,179.0,B5b,G,M,Mechanisch,M7A,A,Allrad,2,2012,4,Kanton,,,,,0.0,Weiss,N,Normalschild,I,Kanton_Kürzel,PLZ,Gemeinde,4601,CH,Schweiz,3,juristisch,,,,audi,Q3,x,audi - Q3
5922,329506,M1,1,Personenwagen,4009,audi,audi q3 2.0 tdi,q3 2.0 tdi,q3,2.0,TDI,X,,163,Limousine,Grau,Metallic,5,2,0,1700,525,2225,0,2000,50,0,1968,4,135,CUW,D,Diesel,,B6b,D,M,Mechanisch,M7A,A,Allrad,2,2015,6,Kanton,Deutschland,A,2016.0,3.0,0.0,Weiss,N,Normalschild,I,Kanton_Kürzel,PLZ,Gemeinde,1364,CH,Schweiz,1,männlich,,,,audi,Q3,x,audi - Q3
6878,340017,M1,1,Personenwagen,4009,audi,audi q3 1.4tfsi,q3 1.4tfsi,q3,1.4tfsi,,1AD306,,161,Stationswagen,Weiss,,5,2,0,1470,535,2005,0,0,75,0,1395,4,110,CHPB,B,Benzin,145.0,B6b,F,M,Mechanisch,M6A,V,Vorderrad,2,2014,11,Kanton,,,,,0.0,Weiss,N,Normalschild,I,Kanton_Kürzel,PLZ,Gemeinde,2455,CH,Schweiz,2,weiblich,,,,audi,Q3,x,audi - Q3
7385,419058,M1,1,Personenwagen,4009,audi,audi rs q3 perf.,rs q3 perf.,rs,q3,Perf.,1AE635,,161,Stationswagen,Grau,,5,2,0,1795,420,2215,0,0,75,0,2480,5,270,CZGB,B,Benzin,198.0,B6b,G,M,Mechanisch,M7A,A,Allrad,2,2016,10,Kanton,,,,,0.0,Weiss,N,Normalschild,I,Kanton_Kürzel,PLZ,Gemeinde,261,CH,Schweiz,1,männlich,,,,audi,Q3,x,audi - Q3
7563,330031,M1,1,Personenwagen,4009,audi,audi q3 2.0tfsi quat.,q3 2.0tfsi quat.,q3,2.0tfsi,quat.,1AD603,,161,Stationswagen,Grau,Metallic,5,2,0,1682,458,2140,0,0,75,0,1984,4,132,CULB,B,Benzin,152.0,B6b,F,M,Mechanisch,M7A,A,Allrad,2,2017,11,Kanton,,,,,0.0,Weiss,N,Normalschild,I,Kanton_Kürzel,PLZ,Gemeinde,6630,CH,Schweiz,2,weiblich,,,,audi,Q3,x,audi - Q3
7599,332076,M1,1,Personenwagen,4009,audi,audi q3 2.0tdi quattro,q3 2.0tdi quattro,q3,2.0tdi,quattro,1AC797,,161,Stationswagen,Weiss,,5,2,0,1660,525,2185,0,0,75,0,1968,4,130,CFGC,D,Diesel,148.0,B5b,E,M,Mechanisch,M6,A,Allrad,2,2013,5,Kanton,,,,,0.0,Weiss,N,Normalschild,I,Kanton_Kürzel,PLZ,Gemeinde,6628,CH,Schweiz,1,männlich,5.0,Behindertenfahrzeug,,audi,Q3,x,audi - Q3
8299,419166,M1,1,Personenwagen,4009,audi,audi rs q3,rs q3,rs,q3,,,X,161,Stationswagen,Weiss,,5,2,0,1730,485,2215,0,0,75,0,2480,5,228.0,,B,Benzin,206.0,B5b,G,M,Mechanisch,M7A,A,Allrad,2,2013,8,Kanton,Deutschland,A,2015.0,9.0,0.0,Weiss,N,Normalschild,I,Kanton_Kürzel,PLZ,Gemeinde,230,CH,Schweiz,1,männlich,,,,audi,Q3,x,audi - Q3
8446,327763,M1,1,Personenwagen,4009,audi,audi q3 2.0tfsi quat.,q3 2.0tfsi quat.,q3,2.0tfsi,quat.,1AD199,,161,Stationswagen,Schwarz,Metallic,5,2,0,1608,547,2155,0,0,75,0,1984,4,125.0,CCZC,B,Benzin,179.0,B5b,G,M,Mechanisch,M7A,A,Allrad,2,2014,10,Kanton,,,,,0.0,Weiss,N,Normalschild,I,Kanton_Kürzel,PLZ,Gemeinde,2621,CH,Schweiz,2,weiblich,,,,audi,Q3,x,audi - Q3
8569,337357,M1,1,Personenwagen,4009,audi,audi q3 2.0tdi quattro,q3 2.0tdi quattro,q3,2.0tdi,quattro,1AE483,,161,Stationswagen,Grau,Metallic,5,2,0,1732,473,2205,0,0,75,0,1968,4,110.0,DFTA,D,Diesel,131.0,B6b,C,M,Mechanisch,M7A,A,Allrad,2,2016,7,Kanton,,,,,0.0,Weiss,N,Normalschild,I,Kanton_Kürzel,PLZ,Gemeinde,355,CH,Schweiz,2,weiblich,,,,audi,Q3,x,audi - Q3
8699,339913,M1,1,Personenwagen,4009,audi,audi q3 2.0tfsi quat.,q3 2.0tfsi quat.,q3,2.0tfsi,quat.,1AD205,,161,Stationswagen,Weiss,Metallic,5,2,0,1640,525,2165,0,0,75,0,1984,4,155.0,CPSA,B,Benzin,179.0,B5b,G,M,Mechanisch,M7A,A,Allrad,2,2014,5,Kanton,,,,,0.0,Weiss,N,Normalschild,I,Kanton_Kürzel,PLZ,Gemeinde,5841,CH,Schweiz,2,weiblich,,,,audi,Q3,x,audi - Q3
8930,332267,M1,1,Personenwagen,4009,audi,audi q3,q3,q3,nan,,,X,161,Stationswagen,Weiss,,5,2,0,1520,0,2045,0,0,0,0,1968,4,103.0,,D,Diesel,137.0,B5b,,M,Mechanisch,M6,V,Vorderrad,2,2014,4,Kanton,,,,,0.0,Weiss,N,Normalschild,I,Kanton_Kürzel,PLZ,Gemeinde,2163,CH,Schweiz,1,männlich,,,,audi,Q3,x,audi - Q3
9248,342246,M1,1,Personenwagen,4009,audi,audi q3,q3,q3,nan,,,X,161,Stationswagen,Grau,,5,2,0,1599,486,2085,0,0,50,0,1968,4,110.0,,D,Diesel,117.0,B6b,,M,Mechanisch,M6,V,Vorderrad,2,2017,11,Kanton,Deutschland,A,2018.0,8.0,0.0,Weiss,N,Normalschild,I,Kanton_Kürzel,PLZ,Gemeinde,3203,CH,Schweiz,1,männlich,,,,audi,Q3,x,audi - Q3
9753,333725,M1,1,Personenwagen,4009,audi,audi q3 2.0tfsi quat.,q3 2.0tfsi quat.,q3,2.0tfsi,quat.,1AD199,,161,Stationswagen,Weiss,Metallic,5,2,0,1608,547,2155,0,0,75,0,1984,4,125.0,CCZC,B,Benzin,174.0,B5b,G,M,Mechanisch,M6,A,Allrad,2,2013,9,Kanton,,,,,0.0,Weiss,N,Normalschild,I,Kanton_Kürzel,PLZ,Gemeinde,182,CH,Schweiz,1,männlich,,,,audi,Q3,x,audi - Q3
16,298557,M1,1,Personenwagen,4009,audi,audi q5 2.0tdi,q5 2.0tdi,q5,2.0tdi,,1AD188,,161,Stationswagen,Weiss,,5,2,0,1863,502,2365,0,0,75,0,1968,4,130.0,CGLC,D,Diesel,154.0,B5b,E,M,Mechanisch,M7A,A,Allrad,2,2013,11,Kanton,,,,,0.0,Weiss,N,Normalschild,I,Kanton_Kürzel,PLZ,Gemeinde,502,CH,Schweiz,1,männlich,,,,audi,Q5,lux,audi - Q5
236,306876,M1,1,Personenwagen,4009,audi,audi q5,q5,q5,nan,,,X,163,Limousine,Blau,Metallic,5,2,0,2008,462,2470,0,2000,50,0,1968,4,140,,D,Diesel,152.0,B6b,,A,Automat,A7,A,Allrad,2,2015,9,Kanton,Schweden,A,2017.0,2.0,0.0,Weiss,N,Normalschild,I,Kanton_Kürzel,PLZ,Gemeinde,3203,CH,Schweiz,2,weiblich,,,,audi,Q5,lux,audi - Q5
803,406575,M1,1,Personenwagen,4009,audi,audi sq5 tfsi,sq5 tfsi,sq5,tfsi,,1AF334,,161,Stationswagen,Schwarz,Metallic,5,2,0,2105,395,2500,0,2400,75,0,2995,6,260,CWGD,B,Benzin,195.0,B6b,G,A,Automat,A8,A,Allrad,2,2017,12,Kanton,,,,,0.0,Weiss,N,Normalschild,I,Kanton_Kürzel,PLZ,Gemeinde,6616,CH,Schweiz,1,männlich,,,,audi,Q5,lux,audi - Q5
1005,294660,M1,1,Personenwagen,4009,audi,audi q5,q5,q5,nan,,X,,161,Stationswagen,Schwarz,Metallic,5,2,0,1895,535,2430,0,0,50,0,1968,4,130.0,,D,Diesel,159.0,B5b,,M,Mechanisch,M7A,A,Allrad,2,2013,9,Kanton,Deutschland,,2014.0,11.0,0.0,Weiss,N,Normalschild,I,Kanton_Kürzel,PLZ,Gemeinde,261,CH,Schweiz,1,männlich,,,,audi,Q5,lux,audi - Q5
1007,304130,M1,1,Personenwagen,4009,audi,audi q5 3.0tdi,q5 3.0tdi,q5,3.0tdi,,1AC556,,161,Stationswagen,Grau,Metallic,5,2,0,1948,542,2490,0,0,100,0,2967,6,176,CCWA,D,Diesel,199.0,B5a,G,M,Mechanisch,M7A,A,Allrad,2,2012,6,Kanton,,,,,0.0,Weiss,N,Normalschild,I,Kanton_Kürzel,PLZ,Gemeinde,5590,CH,Schweiz,1,männlich,,,,audi,Q5,lux,audi - Q5
1212,404619,M1,1,Personenwagen,4009,audi,audi sq5 tfsi,sq5 tfsi,sq5,tfsi,,1AF334,,161,Stationswagen,Weiss,,5,2,0,2091,409,2500,0,2400,75,0,2995,6,260,CWGD,B,Benzin,195.0,B6b,G,A,Automat,A8,A,Allrad,2,2018,7,Kanton,,,,,0.0,Weiss,N,Normalschild,I,Kanton_Kürzel,PLZ,Gemeinde,3339,CH,Schweiz,1,männlich,,,,audi,Q5,lux,audi - Q5
1301,313144,M1,1,Personenwagen,4009,audi,audi q5 3.0tdi,q5 3.0tdi,q5,3.0tdi,,1AC556,,161,Stationswagen,Schwarz,,5,2,0,1940,505,2445,0,0,100,0,2967,6,176.0,CCWA,D,Diesel,199.0,B5a,G,M,Mechanisch,M7A,A,Allrad,2,2008,11,Kanton,,,,,0.0,Weiss,N,Normalschild,I,Kanton_Kürzel,PLZ,Gemeinde,4049,CH,Schweiz,1,männlich,,,,audi,Q5,lux,audi - Q5
1369,309468,M1,1,Personenwagen,4009,audi,audi q5 3.0tdi,q5 3.0tdi,q5,3.0tdi,,1AC556,,161,Stationswagen,Weiss,,5,2,0,1940,550,2490,0,2000,100,0,2967,6,176,CCWA,D,Diesel,199.0,B5a,G,M,Mechanisch,M7A,A,Allrad,2,2010,2,Kanton,,,,,0.0,Weiss,N,Normalschild,I,Kanton_Kürzel,PLZ,Gemeinde,2771,CH,Schweiz,1,männlich,,,,audi,Q5,lux,audi - Q5
1663,409182,M1,1,Personenwagen,4009,audi,audi sq5 tfsi,sq5 tfsi,sq5,tfsi,,1AF334,,161,Stationswagen,Grau,Metallic,5,2,0,2102,398,2500,0,2400,75,0,2995,6,260,CWGD,B,Benzin,195.0,B6b,G,A,Automat,A8,A,Allrad,2,2018,1,Kanton,,,,,0.0,Weiss,N,Normalschild,I,Kanton_Kürzel,PLZ,Gemeinde,6118,CH,Schweiz,1,männlich,,,,audi,Q5,lux,audi - Q5
1799,294648,M1,1,Personenwagen,4009,audi,audi q5 3.0tdi,q5 3.0tdi,q5,3.0tdi,,1AD186,,161,Stationswagen,Grau,Metallic,5,2,0,1935,535,2470,0,0,75,0,2967,6,180.0,CDUD,D,Diesel,169.0,B5b,F,M,Mechanisch,M7A,A,Allrad,2,2014,7,Kanton,,,,,0.0,Weiss,N,Normalschild,I,Kanton_Kürzel,PLZ,Gemeinde,5584,CH,Schweiz,3,juristisch,,,,audi,Q5,lux,audi - Q5
2343,303539,M1,1,Personenwagen,4009,audi,audi q5 2.0tfsi,q5 2.0tfsi,q5,2.0tfsi,,1AC619,,161,Stationswagen,Schwarz,Metallic,5,2,0,1808,557,2365,0,0,100,0,1984,4,155,CDNC,B,Benzin,195.0,B5b,G,M,Mechanisch,M6,A,Allrad,2,2010,3,Kanton,Liechtenstein,A,,,0.0,Weiss,N,Normalschild,I,Kanton_Kürzel,PLZ,Gemeinde,5888,FL,Liechtenstein,1,männlich,,,,audi,Q5,lux,audi - Q5
2708,407178,M1,1,Personenwagen,4009,audi,audi sq5 tfsi,sq5 tfsi,sq5,tfsi,,1AF334,,161,Stationswagen,Grau,,5,2,0,2062,438,2500,4900,2400,75,0,2995,6,260,CWGD,B,Benzin,195.0,B6b,G,A,Automat,A8,A,Allrad,2,2018,5,Kanton,,,,,0.0,Weiss,N,Normalschild,I,Kanton_Kürzel,PLZ,Gemeinde,1151,CH,Schweiz,1,männlich,,,,audi,Q5,lux,audi - Q5
